Символ;Дистанции
1;І - 0.007 В - 0.428 Б - 0.463 Е - 0.483 И - 0.496 Ё - 0.512 К - 0.512 Я - 0.514 Й - 0.52 Н - 0.526 М - 0.527 Р - 0.531 П - 0.533 Ө - 0.533 Ь - 0.539 Ы - 0.548 Ә - 0.556 Ю - 0.558 З - 0.567 Ш - 0.569 Һ - 0.574 Э - 0.577 Ф - 0.58 О - 0.585 Ж - 0.586 Х - 0.587 Қ - 0.6 Ұ - 0.601 С - 0.614 Ц - 0.619 A - 0.621 Д - 0.622 Ң - 0.622 Ч - 0.625 Л - 0.627 Г - 0.638 Ъ - 0.644 Щ - 0.645 Ғ - 0.65 У - 0.653 Ү - 0.673 Т - 0.708 
2;Ь - 0.009 Һ - 0.069 Ё - 0.097 Б - 0.109 К - 0.116 Е - 0.126 Ы - 0.132 Й - 0.136 С - 0.136 Ш - 0.153 Ю - 0.16 В - 0.163 Ц - 0.168 A - 0.173 Х - 0.173 Н - 0.174 Қ - 0.176 О - 0.177 И - 0.178 Ө - 0.179 Ф - 0.184 Ж - 0.186 М - 0.186 Ә - 0.192 Ъ - 0.194 Ұ - 0.197 Щ - 0.204 Д - 0.205 Р - 0.21 Ң - 0.21 П - 0.217 У - 0.217 З - 0.224 Э - 0.226 Ғ - 0.232 Я - 0.242 Ү - 0.265 Г - 0.27 Л - 0.284 Ч - 0.285 Т - 0.323 І - 0.537 
3;Э - 0.007 З - 0.023 Ә - 0.046 Л - 0.07 Д - 0.075 Я - 0.075 О - 0.076 Ж - 0.079 Ч - 0.079 Ө - 0.08 Х - 0.081 Ф - 0.083 Н - 0.085 М - 0.092 Й - 0.094 Ұ - 0.096 Ш - 0.102 A - 0.104 И - 0.107 Ъ - 0.111 Ю - 0.113 П - 0.115 Ц - 0.12 Щ - 0.12 Ы - 0.12 Ң - 0.12 У - 0.135 Қ - 0.159 Ү - 0.164 К - 0.167 В - 0.182 Б - 0.192 С - 0.192 Һ - 0.201 Р - 0.217 Т - 0.219 Ь - 0.226 Ғ - 0.229 Ё - 0.242 Е - 0.248 Г - 0.356 І - 0.576 
4;Ю - 0.009 Н - 0.041 Ф - 0.041 Ө - 0.041 М - 0.045 Ж - 0.048 О - 0.057 Х - 0.062 И - 0.063 Ы - 0.066 Ә - 0.07 Й - 0.072 Ұ - 0.074 К - 0.079 Ш - 0.079 П - 0.085 Ц - 0.091 A - 0.094 Ң - 0.094 Қ - 0.098 Д - 0.101 Щ - 0.102 Э - 0.111 Я - 0.115 Б - 0.119 У - 0.12 Ъ - 0.123 З - 0.124 В - 0.125 Һ - 0.129 С - 0.134 Р - 0.137 Ч - 0.151 Ү - 0.158 Ь - 0.161 Л - 0.163 Ғ - 0.171 Е - 0.172 Ё - 0.183 Т - 0.22 Г - 0.278 І - 0.555 
5;Я - 0.02 И - 0.077 М - 0.083 Н - 0.086 Ө - 0.086 Ә - 0.092 П - 0.099 Э - 0.099 З - 0.101 Й - 0.116 Ф - 0.124 Ж - 0.128 О - 0.132 Ю - 0.132 В - 0.135 Ч - 0.136 Х - 0.139 Л - 0.141 Ш - 0.147 Ы - 0.147 Ұ - 0.147 Д - 0.156 К - 0.166 Ң - 0.171 Б - 0.174 A - 0.176 Ц - 0.183 Щ - 0.188 Ъ - 0.193 Қ - 0.193 У - 0.199 Р - 0.2 Ү - 0.218 Һ - 0.235 С - 0.237 Е - 0.238 Ь - 0.25 Ё - 0.253 Ғ - 0.261 Т - 0.264 Г - 0.366 І - 0.5 
