Символ;Дистанции
1;Ц - 0.012 Х - 0.033 О - 0.042 Щ - 0.045 Ұ - 0.045 A - 0.049 Д - 0.051 Ң - 0.056 У - 0.057 Ж - 0.06 Ф - 0.064 Ъ - 0.068 Қ - 0.075 Ю - 0.077 С - 0.09 Ә - 0.094 Ш - 0.096 Й - 0.098 Ө - 0.1 Н - 0.101 Ы - 0.102 Э - 0.105 Ү - 0.11 М - 0.114 З - 0.117 Һ - 0.117 К - 0.121 П - 0.122 И - 0.132 Ч - 0.134 Л - 0.141 Ғ - 0.143 Я - 0.156 Ь - 0.164 Б - 0.165 Р - 0.172 Т - 0.176 Ё - 0.183 В - 0.19 Е - 0.195 Г - 0.27 І - 0.615 
2;Ч - 0.005 Л - 0.042 Э - 0.074 З - 0.091 Д - 0.095 Ұ - 0.103 Ә - 0.11 О - 0.111 Ж - 0.112 Ң - 0.113 Х - 0.114 Я - 0.114 Ф - 0.115 У - 0.123 Щ - 0.123 Ү - 0.125 П - 0.126 Ө - 0.131 Н - 0.136 A - 0.139 М - 0.139 Ъ - 0.139 Ц - 0.14 Ю - 0.149 И - 0.16 Й - 0.161 Ш - 0.164 Т - 0.165 Қ - 0.166 Ы - 0.181 К - 0.21 С - 0.214 Ғ - 0.216 Р - 0.227 В - 0.236 Һ - 0.245 Б - 0.246 Ь - 0.283 Ё - 0.287 Е - 0.289 Г - 0.358 І - 0.628 
3;Ш - 0.024 Ы - 0.025 Й - 0.064 Ә - 0.065 Ө - 0.069 М - 0.075 Н - 0.076 Ф - 0.08 Ж - 0.081 Ю - 0.082 И - 0.086 О - 0.087 A - 0.09 Х - 0.094 Э - 0.11 Ъ - 0.112 Д - 0.113 З - 0.115 Ц - 0.121 К - 0.123 Ұ - 0.124 Я - 0.128 Щ - 0.132 Б - 0.14 В - 0.142 Һ - 0.145 П - 0.147 Ң - 0.148 Ь - 0.155 Қ - 0.16 У - 0.161 Л - 0.168 С - 0.171 Ч - 0.173 Ё - 0.205 Е - 0.208 Р - 0.209 Ү - 0.21 Ғ - 0.236 Т - 0.276 Г - 0.339 І - 0.552 
4;Щ - 0.02 Ұ - 0.04 Ц - 0.041 О - 0.045 Х - 0.045 Ң - 0.046 Д - 0.048 Ж - 0.048 У - 0.048 A - 0.053 Ф - 0.053 Ъ - 0.069 Ю - 0.076 Қ - 0.086 Ә - 0.093 Ү - 0.097 Ө - 0.1 Ш - 0.101 Н - 0.104 Э - 0.104 М - 0.11 Ы - 0.111 С - 0.117 Й - 0.118 Ч - 0.119 З - 0.122 П - 0.122 Л - 0.13 И - 0.136 К - 0.139 Һ - 0.145 Ғ - 0.146 Я - 0.153 Т - 0.166 Р - 0.178 Б - 0.186 Ь - 0.193 В - 0.203 Ё - 0.216 Е - 0.22 Г - 0.283 І - 0.631 
5;Ъ - 0.013 A - 0.02 Д - 0.044 Щ - 0.062 Ц - 0.065 О - 0.066 Х - 0.067 Ж - 0.073 Ш - 0.078 Ф - 0.081 Ұ - 0.089 У - 0.091 Ә - 0.091 Э - 0.098 Ы - 0.101 Ң - 0.102 З - 0.108 Ю - 0.108 Й - 0.113 Ө - 0.116 Н - 0.122 Л - 0.127 М - 0.129 Ч - 0.134 Қ - 0.134 С - 0.139 Ү - 0.145 Һ - 0.151 И - 0.152 П - 0.163 К - 0.164 Я - 0.165 Ь - 0.186 Ғ - 0.197 Б - 0.201 Т - 0.211 В - 0.218 Ё - 0.225 Р - 0.228 Е - 0.243 Г - 0.327 І - 0.638 
6;Ь - 0.008 Һ - 0.068 Ё - 0.092 Б - 0.109 К - 0.115 Е - 0.121 С - 0.135 Ы - 0.137 Й - 0.141 Ш - 0.159 Ю - 0.163 В - 0.165 Ц - 0.17 Х - 0.176 Қ - 0.176 A - 0.177 Н - 0.177 О - 0.18 И - 0.181 Ө - 0.182 Ф - 0.187 Ж - 0.189 М - 0.19 Ә - 0.196 Ъ - 0.198 Ұ - 0.199 Щ - 0.206 Р - 0.207 Д - 0.208 Ң - 0.211 У - 0.218 П - 0.219 З - 0.229 Ғ - 0.229 Э - 0.231 Я - 0.246 Г - 0.264 Ү - 0.265 Л - 0.288 Ч - 0.289 Т - 0.323 І - 0.537 
7;І - 0.001 В - 0.432 Б - 0.468 Е - 0.489 И - 0.5 Ё - 0.517 К - 0.517 Я - 0.518 Й - 0.525 Н - 0.53 М - 0.532 Р - 0.535 П - 0.537 Ө - 0.538 Ь - 0.545 Ы - 0.553 Ә - 0.561 Ю - 0.562 З - 0.572 Ш - 0.574 Һ - 0.58 Э - 0.582 Ф - 0.585 О - 0.59 Ж - 0.591 Х - 0.592 Қ - 0.604 Ұ - 0.606 С - 0.619 Ц - 0.624 A - 0.626 Ң - 0.626 Д - 0.627 Ч - 0.63 Л - 0.632 Г - 0.642 Щ - 0.65 Ъ - 0.65 Ғ - 0.655 У - 0.658 Ү - 0.677 Т - 0.712 
